#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-1218552.2415337618,3940.672545653524,-1214611.5689881083,7.215229075599253,723.1774820744965,0.9004760025660532,0
2000,7.999999999999562,-1217873.4993462618,6736.2875178878085,-1211137.211828374,12.333899099093994,723.1774820744965,0.9004760025660532,66.4
3000,11.999999999999122,-1215708.8352837618,9894.470604850649,-1205814.3646789112,18.116418243003494,723.1774820744965,0.9004760025660532,70.2
4000,15.999999999998682,-1213383.1516900118,13191.710832603816,-1200191.440857408,24.153545988306867,723.1774820744965,0.9004760025660532,71.4
5000,20.000000000000018,-1211129.3430962618,16512.111751842996,-1194617.2313444188,30.233080123048808,723.1774820744965,0.9004760025660532,71.8
6000,24.000000000001354,-1208861.0110650118,19894.862030069402,-1188966.1490349425,36.42677368174638,723.1774820744965,0.9004760025660532,72
7000,28.00000000000269,-1206507.1048150118,23024.583360846445,-1183482.5214541655,42.157180378251226,723.1774820744965,0.9004760025660532,72.1
8000,32.00000000000402,-1204128.0813775118,26184.10031713982,-1177943.981060372,47.94214178871934,723.1774820744965,0.9004760025660532,72.1
9000,36.000000000001805,-1201459.4055962618,29822.35800821011,-1171637.0475880518,54.6036601902133,723.1774820744965,0.9004760025660532,72.1
10000,39.99999999999959,-1199557.8743462618,32827.52422268411,-1166730.3501235778,60.106010968279634,723.1774820744965,0.9004760025660532,72
11000,43.99999999999737,-1197260.7063775118,36393.70069929815,-1160867.0056782137,66.63555127001422,723.1774820744965,0.9004760025660532,72
12000,47.999999999995154,-1195412.3391900118,39605.917321515,-1155806.4218684968,72.51700386503022,723.1774820744965,0.9004760025660532,71.9
13000,51.99999999999294,-1193461.3743462618,42711.955314896666,-1150749.419031365,78.20404722631686,723.1774820744965,0.9004760025660532,71.9
14000,55.99999999999072,-1191522.3352837618,46431.914956587076,-1145090.4203271747,85.01515894794031,723.1774820744965,0.9004760025660532,71.8
15000,59.9999999999885,-1188717.5305962618,49539.161246492964,-1139178.3693497689,90.70441465651346,723.1774820744965,0.9004760025660532,71.7
16000,63.99999999998629,-1186598.1829400118,52757.78264904863,-1133840.4002909632,96.59759417295928,723.1774820744965,0.9004760025660532,71.7
17000,67.99999999999118,-1183943.1868462618,55768.78443171663,-1128174.4024145452,102.11062966558086,723.1774820744965,0.9004760025660532,71.6
18000,71.99999999999606,-1182155.1204400118,59385.0866824806,-1122770.0337575313,108.73194844900696,723.1774820744965,0.9004760025660532,71.5
19000,76.00000000000095,-1179768.9798150118,62554.61408792673,-1117214.3657270852,114.53523863024961,723.1774820744965,0.9004760025660532,71.4
20000,80.00000000000584,-1178025.3001275118,65858.23193707966,-1112167.0681904322,120.58404356994649,723.1774820744965,0.9004760025660532,71.3
21000,84.00000000001073,-1174410.5852837618,69084.73312205801,-1105325.8521617039,126.4916506833537,723.1774820744965,0.9004760025660532,71.3
22000,88.00000000001562,-1172722.7298150118,72645.32694729965,-1100077.402867712,133.01096935209682,723.1774820744965,0.9004760025660532,71.2
23000,92.0000000000205,-1169641.5579400118,75498.67029631656,-1094142.8876436953,138.23533794806207,723.1774820744965,0.9004760025660532,71.2
24000,96.0000000000254,-1167556.3470025118,78744.4051782937,-1088811.9418242183,144.1781612658631,723.1774820744965,0.9004760025660532,71.1
25000,100.00000000003028,-1163595.4446587618,82290.65743187735,-1081304.7872268844,150.671221034985,723.1774820744965,0.9004760025660532,71
26000,104.00000000003517,-1160877.2532525118,85057.03793280193,-1075820.2153197099,155.7363637975973,723.1774820744965,0.9004760025660532,71
27000,108.00000000004006,-1158637.4173150118,88579.00369094973,-1070058.4136240622,162.18495587091778,723.1774820744965,0.9004760025660532,70.9
28000,112.00000000004495,-1154614.4602837618,91603.21111852769,-1063011.2491652342,167.72217042231992,723.1774820744965,0.9004760025660532,70.8
29000,116.00000000004984,-1151855.6868462618,95279.50185276818,-1056576.1849934936,174.45332595192744,723.1774820744965,0.9004760025660532,70.7
30000,120.00000000005473,-1148477.1048150118,98495.8564753112,-1049981.2483397007,180.34235507605675,723.1774820744965,0.9004760025660532,70.6
31000,124.00000000005961,-1146178.5774712618,102006.87594765887,-1044171.7015236029,186.77090489550815,723.1774820744965,0.9004760025660532,70.6
32000,128.0000000000645,-1142438.6751275118,104494.10912255607,-1037944.5660049558,191.32493898826914,723.1774820744965,0.9004760025660532,70.5
33000,132.00000000005517,-1139377.6438775118,108275.23638724315,-1031102.4074902687,198.24804641793932,723.1774820744965,0.9004760025660532,70.4
34000,136.00000000004584,-1135402.2102837618,111691.79739943652,-1023710.4128843254,204.50364620912885,723.1774820744965,0.9004760025660532,70.3
35000,140.00000000003652,-1133027.3313775118,115055.55895599347,-1017971.7724215183,210.66257210441094,723.1774820744965,0.9004760025660532,70.2
36000,144.0000000000272,-1128349.9876275118,118026.78836123017,-1010323.1992662817,216.10278581071978,723.1774820744965,0.9004760025660532,70.1
37000,148.00000000001788,-1126029.2845025118,122058.61745807744,-1003970.6670444345,223.48491923855454,723.1774820744965,0.9004760025660532,70
38000,152.00000000000855,-1120605.9485650118,124686.6930433897,-995919.2555216221,228.29683069689997,723.1774820744965,0.9004760025660532,69.9
39000,155.99999999999923,-1116859.4368462618,128618.23356703852,-988241.2032792233,235.49533937009988,723.1774820744965,0.9004760025660532,69.8
40000,159.9999999999899,-1111610.9680962618,131605.95522030175,-980005.0128759601,240.96574978676833,723.1774820744965,0.9004760025660532,69.7
41000,163.9999999999806,-1108853.2220025118,134773.02021144234,-974080.2017910695,246.76453137637145,723.1774820744965,0.9004760025660532,69.6
42000,167.99999999997127,-1103547.0227837618,138148.37620435533,-965398.6465794065,252.94468626577626,723.1774820744965,0.9004760025660532,69.6
43000,171.99999999996194,-1094829.4915337618,140404.08131613384,-954425.410217628,257.0748008388416,723.1774820744965,0.9004760025660532,69.5
44000,175.99999999995262,-1088500.4680962618,143701.81253686541,-944798.6555593964,263.1128275745515,723.1774820744965,0.9004760025660532,69.4
45000,179.9999999999433,-1084403.0266900118,147441.24080364808,-936961.7858863638,269.9595856454212,723.1774820744965,0.9004760025660532,69.4
46000,183.99999999993398,-1074166.2415337618,150441.98221331724,-923724.2593204447,275.45383476573454,723.1774820744965,0.9004760025660532,69.3
47000,187.99999999992465,-1065850.1868462618,154073.0268603834,-911777.1599858785,282.10214634422573,723.1774820744965,0.9004760025660532,69.2
48000,191.99999999991533,-1055254.4759087618,156678.60020640545,-898575.8757023565,286.87285701531675,723.1774820744965,0.9004760025660532,69.2
49000,195.999999999906,-1046376.6829400118,159887.4262886085,-886489.2566514034,292.7481016540496,723.1774820744965,0.9004760025660532,69.1
50000,199.9999999998967,-1036346.8470025118,163658.92742377482,-872687.919578737,299.65358398830807,723.1774820744965,0.9004760025660532,69.1
51000,203.99999999988736,-1033216.6790337618,163468.1497020065,-869748.5293317554,299.3042768715324,723.1774820744965,0.9004760025660532,69
52000,207.99999999987804,-1238064.7649712618,7760.840547720685,-1230303.9244235412,14.209818685078655,723.1774820744965,0.9004760025660532,69
53000,211.99999999986872,-1239734.5618462618,6569.6657056208205,-1233164.896140641,12.028820579990999,723.1774820744965,0.9004760025660532,69.1
54000,215.9999999998594,-1236660.2688775118,9849.094599052138,-1226811.1742784597,18.033336415579623,723.1774820744965,0.9004760025660532,69.2
55000,219.99999999985008,-1233661.6985650118,13015.711718177174,-1220645.9868468347,23.831297967701484,723.1774820744965,0.9004760025660532,69.3
56000,223.99999999984075,-1230640.1868462618,16305.824011334946,-1214334.362834927,29.855374722254965,723.1774820744965,0.9004760025660532,69.4
57000,227.99999999983143,-1227510.9173150118,19660.534610818482,-1207850.3827041935,35.99772864209847,723.1774820744965,0.9004760025660532,69.5
